Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
201208,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Mail,Passenger,383,0.1737288
201208,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Cargo,Passenger,210624,95.5390464
201208,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Mail,Passenger,1960,0.889056
201208,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Cargo,Passenger,216470,98.190792
201208,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Mail,Passenger,46664,21.1667904
201208,TACA,TA,TACA,TA,International,Central America,Deplaned,Cargo,Passenger,10165,4.610844
201208,TACA,TA,TACA,TA,International,Central America,Enplaned,Cargo,Passenger,1693,0.7679448
201208,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Cargo,Passenger,60524,27.4536864
201208,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Mail,Passenger,81697,37.0577592
201208,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Cargo,Passenger,126781,57.5078616
201208,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Mail,Passenger,140613,63.7820568
201208,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Cargo,Passenger,190896,86.5904256
201208,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Mail,Passenger,383972,174.1696992
201208,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Cargo,Passenger,376942,170.9808912
201208,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Mail,Passenger,328844,149.1636384
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Cargo,Passenger,47253,21.4339608
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Express,Passenger,1298544,589.0195584
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Mail,Passenger,1376493,624.3772248
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Cargo,Passenger,65984,29.9303424
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Express,Passenger,2361133,1071.009929
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Mail,Passenger,1156919,524.7784584
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Express,Passenger,3282261,1488.83359
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Mail,Passenger,134595,61.052292
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Cargo,Passenger,1512,0.6858432
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Express,Passenger,2124706,963.7666416
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Enplaned,Mail,Passenger,329746,149.5727856
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Express,Passenger,523664,237.5339904
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Deplaned,Mail,Passenger,9737,4.4167032
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Express,Passenger,77352,35.0868672
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Express,Passenger,125,0.0567
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Cargo,Passenger,96,0.0435456
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Express,Passenger,45222,20.5126992
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Mail,Passenger,934,0.4236624
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Express,Passenger,790502,358.5717072
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Mail,Passenger,225773,102.4106328
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Cargo,Passenger,152,0.0689472
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Express,Passenger,806701,365.9195736
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Enplaned,Mail,Passenger,118462,53.7343632
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Cargo,Passenger,420,0.190512
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Express,Passenger,13025,5.90814
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Cargo,Passenger,2070,0.938952
